molecule_chembl_id,canonical_smiles,standard_value,SMILES_desalt,STATUS
CHEMBL1173411,COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C(=O)O)c2C)cc1,2.09,COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C(=O)O)c2C)cc1,Active
CHEMBL1213108,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,3.8,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,Active
CHEMBL1213109,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NCCc2c[nH]c3ncccc23)n1,1.2,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NCCc2c[nH]c3ncccc23)n1,Active
CHEMBL1213110,COc1ccccc1CCNc1nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)nc(N(C)[C@@H](C)c2ccccc2)n1,6.3,COc1ccccc1CCNc1nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)nc(N(C)[C@@H](C)c2ccccc2)n1,Active
CHEMBL1213111,COc1ccccc1CCNc1nc(Nc2ccc3ncccc3c2)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,3.7,COc1ccccc1CCNc1nc(Nc2ccc3ncccc3c2)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,Active
CHEMBL1213151,COc1ccc(Nc2nc(NCCc3ccccc3F)nc(Nc3ccc4ncccc4c3)n2)cc1OC,2.1,COc1ccc(Nc2nc(NCCc3ccccc3F)nc(Nc3ccc4ncccc4c3)n2)cc1OC,Active
CHEMBL1213153,CNc1nc(NCCc2ccccc2OC)nc(Nc2ccc3ncccc3c2)n1,5.1,CNc1nc(NCCc2ccccc2OC)nc(Nc2ccc3ncccc3c2)n1,Active
CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,10000.0,O=C1NCCc2[nH]c(-c3ccncc3)cc21,Inactive
CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,1050.0,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,Intermediate
CHEMBL1270897,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOCC3(C)C)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOCC3(C)C)ns2)n1,Active
CHEMBL1270996,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3(C)C)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3(C)C)ns2)n1,Active
CHEMBL1270997,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)CC3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)CC3)ns2)n1,Active
CHEMBL1271103,CCOC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,4.0,CCOC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,Active
CHEMBL1271104,CC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,4.0,CC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,Active
CHEMBL1271203,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(S(C)(=O)=O)CC3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(S(C)(=O)=O)CC3)ns2)n1,Active
CHEMBL1271204,CCNC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,4.0,CCNC(=O)N1CCN(Cc2cc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)sn2)CC1,Active
CHEMBL1271306,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(CCO)CC3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(CCO)CC3)ns2)n1,Active
CHEMBL1271307,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)CC3=O)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)CC3=O)ns2)n1,Active
CHEMBL1271413,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)C(=O)C3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCN(C)C(=O)C3)ns2)n1,Active
CHEMBL1271414,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOC[C@@H]3CO)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOC[C@@H]3CO)ns2)n1,Active
CHEMBL1269880,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOCC34CCC4)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOCC34CCC4)ns2)n1,Active
CHEMBL1269881,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@@H](C)O[C@@H](C)C3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@@H](C)O[C@@H](C)C3)ns2)n1,Active
CHEMBL1269988,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@H]4CC[C@@H](C3)O4)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@H]4CC[C@@H](C3)O4)ns2)n1,Active
CHEMBL1269989,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@H](C)OC[C@@H]3C)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3C[C@H](C)OC[C@@H]3C)ns2)n1,Active
CHEMBL1270096,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOC(C)(C)C3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCOC(C)(C)C3)ns2)n1,Active
CHEMBL1270097,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(C)N3CCOCC3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(C)N3CCOCC3)ns2)n1,Active
CHEMBL1270205,CCC(c1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)N1CCOCC1,4.0,CCC(c1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)N1CCOCC1,Active
CHEMBL1270206,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(c3ccccn3)N3CCOCC3)ns2)n1,4.0,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(c3ccccn3)N3CCOCC3)ns2)n1,Active
CHEMBL1270299,COCC(c1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)N1CCOCC1,4.0,COCC(c1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)N1CCOCC1,Active
